datetime,open,high,low,close,volume
2020-09-14 10:11:00,395.32001,395.35999,394.98001,395.10001,4379
2020-09-14 10:12:00,395.39999,395.39999,395.39001,395.39001,1237
2020-09-14 10:13:00,395.63519,395.63519,394.89001,394.89001,3821
2020-09-14 10:14:00,394.89999,394.91000,394.53000,394.53000,3799
2020-09-14 10:15:00,394.56000,394.64001,394.39999,394.44409,3862
2020-09-14 10:16:00,394.82001,395.12000,394.82001,394.98999,1389
2020-09-14 10:17:00,395.17999,395.17999,394.97000,395.10001,2544
2020-09-14 10:18:00,395.31500,395.73001,395.22000,395.55231,4827
2020-09-14 10:19:00,395.51001,395.57999,395.47000,395.56009,5354
2020-09-14 10:20:00,395.75500,395.84000,395.60999,395.84000,5486
2020-09-14 10:21:00,395.88000,395.88000,395.26999,395.76999,4526
2020-09-14 10:22:00,395.52139,395.95999,395.52139,395.95999,1748
2020-09-14 10:23:00,395.82501,395.84589,395.72000,395.78000,2616
2020-09-14 10:24:00,396.00000,396.42999,396.00000,396.31000,5251
2020-09-14 10:25:00,396.39999,396.39999,396.28000,396.34500,1349
2020-09-14 10:26:00,396.34250,396.34250,395.89999,395.89999,2095
2020-09-14 10:27:00,395.73010,396.29999,395.73010,396.17001,5422
2020-09-14 10:28:00,396.28000,396.41000,396.28000,396.41000,595
2020-09-14 10:29:00,396.47000,396.54001,396.15500,396.15500,4533
2020-09-14 10:30:00,396.17999,396.51001,396.17999,396.19501,1273
2020-09-14 10:31:00,396.31000,396.31000,396.07001,396.07999,1756
2020-09-14 10:32:00,396.25000,396.39001,396.25000,396.32999,2429
2020-09-14 10:33:00,396.39001,396.39999,396.10001,396.10001,2292
2020-09-14 10:34:00,396.06000,396.06000,395.70001,395.86389,4008
2020-09-14 10:35:00,395.70999,395.70999,395.50000,395.50000,1369
2020-09-14 10:36:00,395.57999,395.67001,395.35001,395.67001,2398
2020-09-14 10:37:00,395.66000,395.66000,395.62000,395.62000,946
2020-09-14 10:38:00,395.51999,395.51999,395.51999,395.51999,1755
2020-09-14 10:39:00,395.12000,395.12000,394.81000,394.95001,2085
2020-09-14 10:40:00,395.03000,395.47290,394.98999,395.47290,2107
2020-09-14 10:41:00,395.50000,395.56000,395.41000,395.50000,1741
2020-09-14 10:42:00,395.43201,395.55499,395.43201,395.55499,1312
